OID_,FID_BLM_AK,OBJECTID,AGENCY_NAM,ADMIN_AGEN,ADMIN_UNIT,ADMIN_UN_1,ADMIN_DEPT,ADMIN_DE_1,ADMIN_ST,Date_Proce,Shape_Leng,Shape_Area,FID_19a_wc,FID_Subuni,Region,UnitSub,SubLabel,SubLetter,Shape_Le_1,Shape_Ar_1,SqMi,FID_19Awca,Id,sqMi_1,Name,sqMi_calc
0,3220,3221,Bureau of Land Management,BLM, , ,Department of the Interior,DOI,AK,7/12/2023 0:00:00,685.969338262332940,20077.055000000000291,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.001696817746500
1,3221,3222,Bureau of Land Management,BLM, , ,Department of the Interior,DOI,AK,7/12/2023 0:00:00,449.064379908528053,8908.405000099999597,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.000752583900487
2,3222,3223,Bureau of Land Management,BLM, , ,Department of the Interior,DOI,AK,7/12/2023 0:00:00,934.379336274884054,18468.595000199999049,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.001560027404380
3,3223,3224,Bureau of Land Management,BLM, , ,Department of the Interior,DOI,AK,7/12/2023 0:00:00,585.490628602958168,8109.655000069999915,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.000684954338356
4,3224,3225,Bureau of Land Management,BLM, , ,Department of the Interior,DOI,AK,7/12/2023 0:00:00,4099.968699119999656,1032513.484999999986030,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.087207148078200
5,3275,3276,Bureau of Land Management,BLM, , ,Department of the Interior,DOI,AK,7/12/2023 0:00:00,20373.430482200001279,23048294.399999998509884,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,1.999977774160000
6,3312,3313,Bureau of Land Management,BLM, , ,Department of the Interior,DOI,AK,7/12/2023 0:00:00,395.956196710488882,8021.639999940000052,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.000705875696387
7,3313,3314,Bureau of Land Management,BLM, , ,Department of the Interior,DOI,AK,7/12/2023 0:00:00,299.072207024339491,3900.435000240000136,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.000340036085765
8,3314,3315,Bureau of Land Management,BLM, , ,Department of the Interior,DOI,AK,7/12/2023 0:00:00,4177.007548509999651,265555.620002000010572,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.023147141463900
9,3408,3409,Bureau of Land Management,BLM, , ,Department of the Interior,DOI,AK,7/12/2023 0:00:00,74986.123170100006973,255448123.514999985694885,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,21.964644311499999
