FID,FID_BLM_AK,SMA_ID,IWA_ID,FAU_ID,Shape_Leng,AGENCY_NAM,ADMIN_AGEN,ADMIN_UNIT,ADMIN_UN_1,ADMIN_DEPT,ADMIN_DE_1,ADMIN_TYPE,Inland_Wat,ADMIN_ST,Date_Proce,Shape_STAr,Shape_STLe,FID_Predat,REGION,EFFSTART,EFFEND,SQMI,DESC_,INT_MGT_PL,AREANAME,Shape_Le_1,Shape_Area,SQKM,STATUS,UNIT,UNIT_LABEL,TYPE,SPECIES,sqMi_calc
0,233194,2386,2386,306,26387212.457100000232458,State,ST, ,Alaska-Other,State,ST,Not Applicable,State,AK,8/17/2021 0:00:00,111507038649.000000000000000,26387212.457100000232458,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,2666.6999512
1,46436,4897,2,0,2091.938531729999795,Undetermined,UND, ,Water,Undetermined,UND,Water,Bureau of Land Management,AK,8/17/2021 0:00:00,253625.900710999994772,2091.938531729999795,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,0.0979255
2,46441,4897,2,0,1464.314807530000053,Undetermined,UND, ,Water,Undetermined,UND,Water,Bureau of Land Management,AK,8/17/2021 0:00:00,50674.166244499996537,1464.314807530000053,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,0.0195654
3,46442,4897,2,0,2167.456016009999985,Undetermined,UND, ,Water,Undetermined,UND,Water,Bureau of Land Management,AK,8/17/2021 0:00:00,258714.628426000010222,2167.456016009999985,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,0.0998903
4,46444,4897,2,0,3673.945401540000148,Undetermined,UND, ,Water,Undetermined,UND,Water,Bureau of Land Management,AK,8/17/2021 0:00:00,318970.900314000027720,3673.945401540000148,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,0.1231550
5,46449,4897,2,0,567.043277269999976,Undetermined,UND, ,Water,Undetermined,UND,Water,Bureau of Land Management,AK,8/17/2021 0:00:00,7356.076408390000324,567.043277267999997,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,0.0028402
6,46450,4897,2,0,1201.886695930000087,Undetermined,UND, ,Water,Undetermined,UND,Water,Bureau of Land Management,AK,8/17/2021 0:00:00,17665.822318999998970,1201.886695930000087,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,0.0068208
7,46451,4897,2,0,733.360489730000040,Undetermined,UND, ,Water,Undetermined,UND,Water,Bureau of Land Management,AK,8/17/2021 0:00:00,11644.421516399999746,733.360489733000009,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,0.0044959
8,46464,4897,5142,0,6437.424117460000161,Undetermined,UND, ,Water,Undetermined,UND,Water,Alaska Native Lands Patented or Interim Conveyed,AK,8/17/2021 0:00:00,2589990.485880000051111,6437.424117460000161,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,1.0000000
9,46477,4897,2386,306,2092.738915139999790,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,226073.067665000009583,2092.738915139999790,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,0.0872873
10,46478,4897,2386,306,942.509163380000018,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,8078.133186340000066,942.509163375999947,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,0.0031190
11,46479,4897,2386,306,6883.589493219999895,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,45836.348892200003320,6883.589493219999895,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,0.0176975
12,46529,2,2,0,293852.111986999982037,Bureau of Land Management,BLM, ,Anchorage Field Office,Department of the Interior,DOI,Agency,Bureau of Land Management,AK,8/17/2021 0:00:00,848277228.733000040054321,293852.111986999982037,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,207.8200073
13,46553,5142,5142,0,47603.578886800001783,Alaska Native Lands Patented or Interim Conveyed,NTVPIC, ,Calista Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,Not Applicable,Alaska Native Lands Patented or Interim Conveyed,AK,8/17/2021 0:00:00,23894112.647900000214577,47603.578886800001783,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,9.2255697
14,46556,4897,5142,0,9665.386963299999479,Undetermined,UND, ,Water,Undetermined,UND,Water,Alaska Native Lands Patented or Interim Conveyed,AK,8/17/2021 0:00:00,935914.006989000015892,9665.386963299999479,26,3,12/30/1899 0:00:00,12/30/1899 0:00:00,3904.854436359999909,"19A, Holitna, Hoholitna & Stony R dra",IMP VII,Unit 19A Wolf Predation Control Focus Area,614884.333141000010073,10113526561.500000000000000,8434.222019209999416,Active,19A,19A,Focus Area,W,0.3613580
